Voltage ; Angle ; Time ; Step
Voltage Value: -12.000000 ; Angle Value: 113.005463 ; Time Value Ms: 5810.000000; Step: 81 
Voltage Value: -12.000000 ; Angle Value: 115.081970 ; Time Value Ms: 5815.000000; Step: 81 
Voltage Value: -12.000000 ; Angle Value: 129.398911 ; Time Value Ms: 5820.000000; Step: 82 
Voltage Value: -12.000000 ; Angle Value: 112.677597 ; Time Value Ms: 5825.000000; Step: 82 
Voltage Value: -12.000000 ; Angle Value: 112.021858 ; Time Value Ms: 5830.000000; Step: 83 
Voltage Value: -12.000000 ; Angle Value: 114.098358 ; Time Value Ms: 5835.000000; Step: 83 
Voltage Value: -12.000000 ; Angle Value: 134.972672 ; Time Value Ms: 5840.000000; Step: 84 
Voltage Value: -12.000000 ; Angle Value: 117.486336 ; Time Value Ms: 5845.000000; Step: 84 
Voltage Value: -12.000000 ; Angle Value: 130.273224 ; Time Value Ms: 5850.000000; Step: 85 
Voltage Value: -12.000000 ; Angle Value: 129.289612 ; Time Value Ms: 5855.000000; Step: 85 
Voltage Value: -12.000000 ; Angle Value: 129.617493 ; Time Value Ms: 5860.000000; Step: 86 
Voltage Value: -12.000000 ; Angle Value: 129.726776 ; Time Value Ms: 5865.000000; Step: 86 
Voltage Value: -12.000000 ; Angle Value: 118.907104 ; Time Value Ms: 5870.000000; Step: 87 
Voltage Value: -12.000000 ; Angle Value: 128.087433 ; Time Value Ms: 5875.000000; Step: 87 
Voltage Value: -12.000000 ; Angle Value: 142.841537 ; Time Value Ms: 5880.000000; Step: 88 
Voltage Value: -12.000000 ; Angle Value: 136.612015 ; Time Value Ms: 5885.000000; Step: 88 
Voltage Value: -12.000000 ; Angle Value: 123.606560 ; Time Value Ms: 5890.000000; Step: 89 
Voltage Value: -12.000000 ; Angle Value: 132.459015 ; Time Value Ms: 5895.000000; Step: 89 
Voltage Value: -6.000000 ; Angle Value: 142.950821 ; Time Value Ms: 5900.000000; Step: 90 
Voltage Value: -6.000000 ; Angle Value: 128.961746 ; Time Value Ms: 5905.000000; Step: 90 
Voltage Value: -5.700000 ; Angle Value: 130.382507 ; Time Value Ms: 5910.000000; Step: 91 
Voltage Value: -5.700000 ; Angle Value: 146.120224 ; Time Value Ms: 5915.000000; Step: 91 
Voltage Value: -5.400000 ; Angle Value: 124.371582 ; Time Value Ms: 5920.000000; Step: 92 
Voltage Value: -5.400000 ; Angle Value: 144.371582 ; Time Value Ms: 5925.000000; Step: 92 
Voltage Value: -5.100000 ; Angle Value: 142.404373 ; Time Value Ms: 5930.000000; Step: 93 
Voltage Value: -5.100000 ; Angle Value: 123.278687 ; Time Value Ms: 5935.000000; Step: 93 
Voltage Value: -4.800000 ; Angle Value: 130.054642 ; Time Value Ms: 5940.000000; Step: 94 
Voltage Value: -4.800000 ; Angle Value: 125.355194 ; Time Value Ms: 5945.000000; Step: 94 
